DeltaTime	StreamSample	HeadRotationX	HeadRotationY	HeadRotationZ	HeadSpeedX	HeadSpeedY	HeadSpeedZ	
0.0011291	2461454	0.9143876	0.02936663	-0.403503	-0.01477416	-0.5796193	-0.1482602	0.07936621	 
0.0015582	2471270	0.9144049	0.02934257	-0.4034639	-0.01481725	0.2201453	-0.3315881	-0.3339597	 
0.0013008	2471272	0.9144074	0.02934436	-0.403458	-0.0148225	-0.07061561	-0.3414845	-0.2988324	 
0.0022504	2471273	0.9144085	0.02934599	-0.4034553	-0.01482483	-0.05321822	-0.3141492	-0.3131994	 
0.0010357	2471276	0.9144096	0.02935167	-0.403452	-0.01483013	-0.2020357	0.008733137	-0.1764851	 
0.001032	2471277	0.9144093	0.0293539	-0.4034526	-0.01482995	-0.2336577	0.07258544	-0.07876686	 
0.0010503	2471278	0.9144087	0.02935643	-0.4034537	-0.01482924	-0.290257	0.127733	-0.03811855	 
0.0013317	2471279	0.914408	0.02935885	-0.4034554	-0.0148279	-0.307672	0.2020814	0.03133735	 
0.0012045	2471280	0.9144068	0.02936156	-0.4034578	-0.01482584	-0.371423	0.2718607	0.09291317	 
0.0020871	2471281	0.9144058	0.02936332	-0.4034601	-0.014824	-0.2660982	0.273914	0.112962	 
0.0010677	2471283	0.9144043	0.02936201	-0.4034635	-0.01482371	0.1497692	0.1924476	0.04166415	 
0.0012294	2471284	0.9144036	0.02936047	-0.4034654	-0.01482383	0.1540417	0.227505	0.06117187	 
0.0010495	2471286	0.9144014	0.02936196	-0.4034704	-0.01482156	-0.2386344	0.3072506	0.07169359	 
0.0010021	2471288	0.9143984	0.02936677	-0.4034768	-0.01481889	-0.3223561	0.4042062	0.02907138	 
0.0010342	2471289	0.9143968	0.02936903	-0.4034804	-0.01481793	-0.2817606	0.4316317	0.004281245	 
0.0010462	2471290	0.9143952	0.02937054	-0.4034838	-0.01481835	-0.1432313	0.4055469	-0.1002418	 
0.0011061	2471291	0.914394	0.02937078	-0.4034866	-0.01481943	0.01521192	0.3459586	-0.1127098	 
0.0010149	2471292	0.9143928	0.02937095	-0.4034892	-0.01482047	0.02061187	0.3107248	-0.1060486	 
0.0010367	2471293	0.9143917	0.02937124	-0.4034916	-0.01482071	-0.02567198	0.2985572	-0.03034194	 
0.0010124	2471294	0.9143909	0.02937166	-0.4034934	-0.01482064	-0.05090315	0.2087449	-0.007563444	 
0.0010959	2471295	0.9143904	0.02937165	-0.4034944	-0.01482057	-0.005264013	0.121157	0.009937626	 
0.0026063	2471296	0.9143902	0.02937147	-0.403495	-0.01482018	-0.001110572	0.07289238	0.04940456	 
0.0014262	2471299	0.9143907	0.0293709	-0.4034941	-0.01481408	-0.002876264	-0.1406328	0.2601696	 
0.0013683	2471301	0.914393	0.02936789	-0.4034894	-0.01480733	-0.04887764	-0.3389976	0.457323	 
0.0010025	2471303	0.914397	0.02936674	-0.4034807	-0.01479888	-0.1176293	-0.6005678	0.407141	 
0.0010287	2471304	0.9143994	0.02936577	-0.4034753	-0.01479683	0.0233918	-0.6608315	0.2349744	 
0.0010207	2471305	0.914402	0.0293644	-0.4034697	-0.0147963	0.1313348	-0.6798246	0.1006677	 
0.0010747	2471306	0.9144046	0.02936251	-0.4034638	-0.01479742	0.258264	-0.6962846	-0.04402694	 
0.0020811	2471307	0.9144073	0.0293599	-0.403458	-0.01479952	0.3733751	-0.6943347	-0.109228	 
0.0011885	2471309	0.9144115	0.02935648	-0.4034485	-0.01480389	0.1913975	-0.4907274	-0.1519256	 
0.0010477	2471310	0.9144127	0.02935618	-0.4034458	-0.0148053	0.1012761	-0.3192222	-0.1352006	 
0.0012949	2471312	0.9144137	0.02935666	-0.4034434	-0.01480664	0.01067532	-0.07995524	-0.07674039	 
